Year,Rank,State
2022,1,Vermont
2022,2,Massachusetts
2022,3,Maine
2022,4,Wisconsin
2022,5,Minnesota
2022,6,New Hampshire
2022,7,Rhode Island
2022,8,Pennsylvania
2022,9,Connecticut
2022,10,District of Columbia
2022,11,Washington
2022,12,Montana
2022,13,Illinois
2022,14,Maryland
2022,15,New York
2022,16,Kentucky
2022,17,Delaware
2022,18,Iowa
2022,19,Oregon
2022,20,New Mexico
2022,21,Colorado
2022,22,Ohio
2022,23,South Dakota
2022,24,New Jersey
2022,25,Michigan
2022,26,Utah
2022,27,North Dakota
2022,28,Oklahoma
2022,29,West Virginia
2022,30,California
2022,31,Hawaii
2022,32,Indiana
2022,33,Nebraska
2022,34,Alaska
2022,35,Louisiana
2022,36,Wyoming
2022,37,Virginia
2022,38,North Carolina
2022,39,Nevada
2022,40,Arkansas
2022,41,Missouri
2022,42,Idaho
2022,43,South Carolina
2022,44,Kansas
2022,45,Tennessee
2022,46,Arizona
2022,47,Mississippi
2022,48,Georgia
2022,49,Florida
2022,50,Alabama
2022,51,Texas
2021,1,Vermont
2021,2,Pennsylvania
2021,3,Massachusetts
2021,4,Maryland
2021,5,New Jersey
2021,6,New York
2021,7,Minnesota
2021,8,Hawaii
2021,9,District of Columbia
2021,10,Delaware
2021,11,Ohio
2021,12,Rhode Island
2021,13,Connecticut
2021,14,Maine
2021,15,Michigan
2021,16,South Dakota
2021,17,Kentucky
2021,18,New Hampshire
2021,19,Wisconsin
2021,20,Nebraska
2021,21,Louisiana 
2021,22,Illinois
2021,23,Iowa
2021,24,North Dakota
2021,25,California
2021,26,Virginia
2021,27,Texas
2021,28,Tennessee
2021,29,Kansas
2021,30,Montana
2021,31,Washington
2021,32,Mississippi
2021,33,Indiana
2021,34,New Mexico
2021,35,Florida
2021,36,Alabama
2021,37,Georgia
2021,38,Missouri
2021,39,West Virginia
2021,40,Arizona
2021,41,North Carolina
2021,42,Arkansas
2021,43,South Carolina
2021,44,Wyoming
2021,45,Oklahoma
2021,46,Utah
2021,47,Colorado
2021,48,Oregon
2021,49,Alaska
2021,50,Idaho
2021,51,Nevada
2020,1,Pennsylvania 
2020,2,New York 
2020,3,Vermont 
2020,4,Rhode Island 
2020,5,Maryland 
2020,6,Minnesota 
2020,7,Massachusetts 
2020,8,New Jersey 
2020,9,Iowa 
2020,10,Connecticut 
2020,11,Delaware 
2020,12,Hawaii 
2020,13,Wisconsin 
2020,14,New Hampshire 
2020,15,North Dakota 
2020,16,District of Columbia
2020,17,Michigan 
2020,18,Ohio 
2020,19,Maine 
2020,20,Illinois 
2020,21,Kentucky 
2020,22,California 
2020,23,Nebraska 
2020,24,South Dakota 
2020,25,Missouri 
2020,26,Indiana 
2020,27,Virginia 
2020,28,Arizona 
2020,29,Colorado 
2020,30,Louisiana 
2020,31,New Mexico 
2020,32,Florida 
2020,33,Arkansas 
2020,34,Mississippi 
2020,35,North Carolina 
2020,36,Georgia 
2020,37,West Virginia 
2020,38,Texas 
2020,39,Tennessee 
2020,40,Alabama 
2020,41,Oklahoma 
2020,42,Kansas 
2020,43,Montana 
2020,44,South Carolina 
2020,45,Washington 
2020,46,Alaska 
2020,47,Wyoming 
2020,48,Utah 
2020,49,Idaho 
2020,50,Oregon 
2020,51,Nevada 
2019,1,Minnesota
2019,2,Maine
2019,3,Massachusetts
2019,4,New Jersey
2019,5,Vermont
2019,6,Connecticut
2019,7,Iowa
2019,8,North Dakota
2019,9,Hawaii
2019,10,New Hampshire 
2019,11,Illinois
2019,12,New York 
2019,13,Maryland 
2019,14,Pennsylvania 
2019,15,Michigan 
2019,16,Delaware 
2019,17,Rhode Island 
2019,18,South Dakota 
2019,19,Ohio 
2019,20,Wisconsin 
2019,21,Georgia 
2019,22,District of Columbia 
2019,23,Nebraska 
2019,24,Kansas 
2019,25,California 
2019,26,Kentucky 
2019,27,Oklahoma 
2019,28,North Carolina 
2019,29,Colorado 
2019,30,Missouri 
2019,31,New Mexico 
2019,32,Florida 
2019,33,Virginia 
2019,34,Washington 
2019,35,West Virginia 
2019,36,Alabama 
2019,37,Arkansas 
2019,38,Louisiana 
2019,39,Arizona 
2019,40,Montana 
2019,41,South Carolina 
2019,42,Indiana 
2019,43,Texas 
2019,44,Utah 
2019,45,Tennessee 
2019,46,Wyoming 
2019,47,Alaska 
2019,48,Mississippi 
2019,49,Oregon 
2019,50,Idaho 
2019,51,Nevada 
2018,1,Massachusetts
2018,2,South Dakota
2018,3,Minnesota
2018,4,Vermont
2018,5,Connecticut
2018,6,Iowa
2018,7,North Dakota
2018,8,Maine
2018,9,Hawaii
2018,10,New Jersey
2018,11,Illinois
2018,12,Maryland
2018,13,New York
2018,14,Delaware
2018,15,District of Columbia
2018,16,Pennsylvania
2018,17,Michigan
2018,18,Nebraska
2018,19,Kansas
2018,20,Ohio
2018,21,New Mexico
2018,22,Kentucky
2018,23,Rhode Island
2018,24,California
2018,25,Wisconsin
2018,26,Georgia
2018,27,Montana
2018,28,Alaska
2018,29,New Hampshire
2018,30,Missouri
2018,31,Wyoming
2018,32,North Carolina
2018,33,Florida
2018,34,Washington
2018,35,Arkansas
2018,36,Oklahoma
2018,37,Utah
2018,38,Louisiana
2018,39,Texas
2018,40,Virginia
2018,41,Alabama
2018,42,West Virginia
2018,43,Colorado
2018,44,Oregon
2018,45,South Carolina
2018,46,Tennessee
2018,47,Idaho
2018,48,Indiana
2018,49,Arizona
2018,50,Mississippi
2018,51,Nevada
2017,1,Connecticut
2017,2,Massachusetts
2017,3,Vermont
2017,4,South Dakota
2017,5,Minnesota
2017,6,New Jersey
2017,7,Iowa
2017,8,North Dakota
2017,9,Pennsylvania
2017,10,Maine
2017,11,Delaware
2017,12,New York
2017,13,Alaska
2017,14,Maryland
2017,15,Illinois
2017,16,Hawaii
2017,17,Michigan
2017,18,District of Columbia
2017,19,Kentucky
2017,20,New Hampshire
2017,21,Kansas
2017,22,New Mexico
2017,23,California
2017,24,Oklahoma
2017,25,Colorado
2017,26,Ohio
2017,27,Nebraska
2017,28,Florida
2017,29,Wyoming
2017,30,Washington
2017,31,Missouri
2017,32,Texas
2017,33,North Carolina
2017,34,Georgia
2017,35,Wisconsin
2017,36,Rhode Island
2017,37,South Carolina
2017,38,Virginia
2017,39,Montana
2017,40,Utah
2017,41,Tennessee
2017,42,Louisiana
2017,43,West Virginia
2017,44,Mississippi
2017,45,Indiana
2017,46,Alabama
2017,47,Arkansas
2017,48,Idaho
2017,49,Oregon
2017,50,Arizona
2017,51,Nevada
2016,1,Minnesota
2016,2,Massachusetts
2016,3,Connecticut
2016,4,Vermont
2016,5,South Dakota
2016,6,New Jersey
2016,7,North Dakota
2016,8,Iowa
2016,9,Alaska
2016,10,New York
2016,11,New Hampshire
2016,12,Illinois
2016,13,Maryland
2016,14,Pennsylvania
2016,15,Kansas
2016,16,Delaware
2016,17,Maine
2016,18,Georgia
2016,19,Colorado
2016,20,Nebraska
2016,21,Kentucky
2016,22,Hawaii
2016,23,California
2016,24,Ohio
2016,25,Florida
2016,26,Oklahoma
2016,27,North Carolina
2016,28,District of Columbia
2016,29,Wyoming
2016,30,Missouri
2016,31,Alabama
2016,32,Michigan
2016,33,Texas
2016,34,Montana
2016,35,Mississippi
2016,36,New Mexico
2016,37,Wisconsin
2016,38,South Carolina
2016,39,West Virginia
2016,40,Tennessee
2016,41,Arkansas
2016,42,Virginia
2016,43,Louisiana
2016,44,Indiana
2016,45,Idaho
2016,46,Utah
2016,47,Washington
2016,48,Rhode Island
2016,49,Nevada
2016,50,Arizona
2016,51,Oregon
2015,1,Massachusetts
2015,2,Vermont
2015,3,Maine
2015,4,North Dakota
2015,5,Delaware
2015,6,Minnesota
2015,7,Maryland
2015,8,New Jersey
2015,9,South Dakota
2015,10,Nebraska
2015,11,Connecticut
2015,12,Iowa
2015,13,Hawaii
2015,14,Pennsylvania
2015,15,Wisconsin
2015,16,Illinois
2015,17,New York
2015,18,North Carolina
2015,19,Kansas
2015,20,Virginia
2015,21,Ohio
2015,22,Missouri
2015,23,New Hampshire
2015,24,Rhode Island
2015,25,Tennessee
2015,26,Florida
2015,27,Kentucky
2015,28,Colorado
2015,29,California
2015,30,District of Columbia
2015,31,Alaska
2015,32,Georgia
2015,33,South Carolina
2015,34,Indiana
2015,35,West Virginia
2015,36,Texas
2015,37,Utah
2015,38,Wyoming
2015,39,Alabama
2015,40,Oregon
2015,41,Michigan
2015,42,Idaho
2015,43,Arkansas
2015,44,Montana
2015,45,Oklahoma
2015,46,New Mexico
2015,47,Louisiana
2015,48,Washington
2015,49,Nevada
2015,50,Mississippi
2015,51,Arizona
